"city","population"
"Ibirapitanga","23375"
"Ibirataia","15312"
"Ibotirama","26927"
"Ilhéus","162327"
"Inhambupe","39926"
"Ipiaú","45873"
"Ipirá","59595"
"Irará","29034"
"Irecê","72967"
"Itabela","30584"
"Itaberaba","64489"
"Itabuna","213223"
"Itacaré","28296"
"Itagi","12351"
"Itagibá","14579"
"Itajuípe","20491"
"Itamaraju","64486"
"Itaparica","22228"
"Itapé","8761"
"Itapebi","10259"
"Itapetinga","76147"
"Itapicuru","35576"
"Itapitanga","10313"
"Itarantim","19747"
"Itatim","14487"
"Itororó","20382"
"Ituberá","28602"
"Jacobina","80518"
"Jaguaquara","54423"
"Jaguarari","33570"
"Jequié","155966"
"Jitaúna","11166"
"Juazeiro","216707"
"Jussari","5833"
"Jussiape","6186"
"Lajedo do Tabocal","15665"
"Laje","3955"
"Lauro de Freitas","198440"
"Licínio de Almeida","12388"
"Livramento de Nossa Senhora","45732"
"Luís Eduardo Magalhães","87519"
"Madre de Deus","21093"
"Manoel Vitorino","13240"
"Maracás","20834"
"Maragogipe","44677"
"Maraú","20570"
"Mata de São João","46583"
"Medeiros Neto","22688"
"Miguel Calmon","26023"
"Mirante","8641"
"Morpará","8519"
"Mucugê","9062"
"Nazaré","28525"
"Nilo Peçanha","13997"
"Nordestina","13130"
"Nova Soure","26947"
"Nova Viçosa","43376"
"Oliveira dos Brejinhos","21825"
"Palmeiras","9019"
"Paramirim","21607"
"Pau Brasil","9831"
"Paulo Afonso","117782"
"Pilão Arcado","35048"
"Piripá","10707"
"Pojuca","39519"
"Ponto Novo","14914"
"Porto Seguro","148686"
"Potiraguá","7224"
"Prado","28174"
"Presidente Dutra","15142"
"Presidente Tancredo Neves","27719"
"Rafael Jambeiro","22621"
"Remanso","41008"
"Retirolândia","14396"
"Ribeira do Pombal","53807"
"Rio do Pires","11655"
"Rio Real","40732"
"Salvador","2872347"
"Santa Bárbara","20791"
"Santa Cruz Cabrália","27778"
"Santaluz","37348"
"Santa Luzia","12597"
"Santa Maria da Vitória","39845"
"Santanópolis","8943"
"Santa Teresinha","10405"
"Santo Amaro","60069"
"Santo Antônio de Jesus","101512"
"Santo Estêvão","52850"
"São Domingos","9058"
"São Felipe","21074"
"São Francisco do Conde","39802"
"São Gonçalo dos Campos","37550"
"São José da Vitória","5657"
"São Sebastião do Passé","44300"
"Sátiro Dias","17273"
"Saubara","12043"
"Saúde","12913"
"Seabra","44091"
"Serra do Ramalho","31472"
"Serra Preta","14878"
"Serrinha","80861"
"Simões Filho","134377"
"Taperoá","21074"
"Teixeira de Freitas","160487"
"Tucano","50687"
"Ubaitaba","19056"
"Ubatã","27035"
"Umburanas","19222"
"Una","19002"
"Uruçuca","20519"
"Utinga","19178"
"Valença","96562"
"Valente","28473"
"Várzea Nova","12697"
"Vera Cruz","43223"
"Vereda","6205"
"Vitória da Conquista","338480"
"Alta Floresta D'Oeste","22945"
"Ariquemes","107863"
"Cacoal","85359"
"Espigão D'Oeste","32374"
"Guajará-Mirim","46174"
"Jaru","51775"
"Ji-Paraná","128969"
"Machadinho D'Oeste","39991"
"Nova Brasilândia D'Oeste","20474"
"Ouro Preto do Oeste","36035"
"Pimenta Bueno","36660"
"Porto Velho","529544"
"Rolim de Moura","55058"
"Vilhena","99854"
"Alvorada D'Oeste","14411"
"Alto Alegre dos Parecis","13241"
"Alto Paraíso","21428"
"Buritis","39654"
"Novo Horizonte do Oeste","8538"
"Campo Novo de Rondônia","14139"
"Candeias do Jamari","26693"
"Cujubim","25215"
"Governador Jorge Teixeira","7767"
"Itapuã do Oeste","10458"
"Mirante da Serra","10947"
"Primavera de Rondônia","2856"
"São Felipe D'Oeste","5172"
"Theobroma","10444"
"Urupá","11467"
"Vale do Anari","11204"
"Acrelândia","15256"
"Assis Brasil","7417"
"Brasiléia","26278"
"Bujari","10266"
"Capixaba","11733"
"Cruzeiro do Sul","88376"
"Epitaciolândia","18411"
"Feijó","34780"
"Mâncio Lima","18977"
"Plácido de Castro","19761"
"Rio Branco","407319"
"Santa Rosa do Purus","6540"
"Senador Guiomard","23024"
"Sena Madureira","45848"
"Tarauacá","42567"
"Xapuri","19323"
"Porto Acre","18504"
"Alvarães","16041"
"Amaturá","11536"
"Anamã","13614"
"Anori","21010"
"Apuí","21973"
"Atalaia do Norte","19921"
"Autazes",
"Barcelos",
"Barreirinha","32041"
"Benjamin Constant","42984"
"Beruri","19679"
"Boa Vista do Ramos","19207"
"Boca do Acre","34308"
"Borba","41161"
"Caapiranga","13081"
"Canutama","15629"
"Carauari","28294"
"Careiro",
"Careiro da Várzea",
"Coari","85097"
"Codajás","28637"
"Eirunepé","35273"
"Fonte Boa","17609"
"Humaitá","55080"
"Iranduba",
"Itacoatiara","101337"
"Itapiranga","9148"
"Japurá","2755"
"Juruá","14712"
"Jutaí","14317"
"Lábrea","46069"
"Manacapuru","97377"
"Manaquiri",
"Manaus",
"Manicoré","55751"
"Maraã","18224"
"Maués","63905"
"Nhamundá","21173"
"Nova Olinda do Norte",
"Novo Airão","19454"
"Novo Aripuanã","25644"
"Parintins","114273"
"Pauini","19426"
"Presidente Figueiredo",
"Rio Preto da Eva",
"Santa Isabel do Rio Negro",
"Santo Antônio do Içá","21602"
"São Gabriel da Cachoeira",
"São Paulo de Olivença","39299"
"São Sebastião do Uatumã","14020"
"Silves","9171"
"Tabatinga","65844"
"Tapauá","17156"
"Tefé","59849"
"Tonantins","18755"
"Urucará","16256"
"Urucurituba","23065"
"Amajari","12796"
"Alto Alegre","15510"
"Boa Vista","399213"
"Bonfim","12409"
"Cantá","18335"
"Caracaraí","21926"
"Caroebe","10169"
"Mucajaí","17853"
"Normandia","11290"
"Pacaraima","17401"
"Rorainópolis","30163"
"São João da Baliza","8201"
"São Luiz","7986"
"Uiramutã","10559"
"Abaetetuba","157698"
"Abel Figueiredo","7434"
"Acará","55591"
"Afuá","39218"
"Água Azul do Norte","27430"
"Alenquer","56789"
"Almeirim","34109"
"Altamira","114594"
"Anajás","29277"
"Ananindeua","530598"
"Anapu","27890"
"Augusto Corrêa","45998"
"Aurora do Pará","31338"
"Bagre","30673"
"Baião","47446"
"Bannach","3286"
"Barcarena","124680"
"Belém","1492745"
"Belterra","17732"
"Benevides","62737"
"Bom Jesus do Tocantins","16981"
"Bonito","16286"
"Bragança","127686"
"Brasil Novo","15086"
"Breu Branco","66046"
"Breves","102701"
"Bujaru","29132"
"Cachoeira do Piriá","33900"
"Cachoeira do Arari","23767"
"Cametá","137890"
"Canaã dos Carajás","37085"
"Capanema","69027"
"Capitão Poço","54303"
"Castanhal","200793"
"Chaves","23717"
"Colares","12085"
"Conceição do Araguaia","47864"
"Concórdia do Pará","33318"
"Curionópolis","17929"
"Curralinho","34448"
"Curuá","14393"
"Curuçá","40066"
"Dom Eliseu","59719"
"Eldorado do Carajás","33808"
"Faro","7194"
"Garrafão do Norte","26066"
"Goianésia do Pará","40475"
"Gurupá","33376"
"Igarapé-Açu","38807"
"Igarapé-Miri","62698"
"Inhangapi","11711"
"Ipixuna do Pará","64053"
"Irituia","32550"
"Itaituba","101247"
"Itupiranga","53269"
"Jacareacanga","8239"
"Jacundá","59155"
"Juruti","57943"
"Limoeiro do Ajuru","28935"
"Mãe do Rio","30077"
"Magalhães Barata","8548"
"Marabá","279349"
"Maracanã","29473"
"Marapanim","28336"
"Marituba","131521"
"Medicilândia","31597"
"Melgaço","27654"
"Mocajuba","31136"
"Moju","82094"
"Monte Alegre","58032"
"Muaná","40349"
"Nova Esperança do Piriá","21368"
"Nova Ipixuna","16678"
"Nova Timboteua","15363"
"Novo Progresso","25762"
"Novo Repartimento","75919"
"Óbidos","52137"
"Oeiras do Pará","32512"
"Oriximiná","73096"
"Ourém","17842"
"Ourilândia do Norte","32832"
"Pacajá","47706"
"Paragominas","113145"
"Parauapebas","208273"
"Pau d'Arco","5483"
"Peixe-Boi","8077"
"Ponta de Pedras","31082"
"Portel","62043"
"Porto de Moz","41135"
"Prainha","29866"
"Primavera","10825"
"Quatipuru","13608"
"Redenção","84787"
"Rio Maria","18193"
"Rondon do Pará","52357"
"Salinópolis","40675"
"Salvaterra","23752"
"Santa Bárbara do Pará","21079"
"Santa Cruz do Arari","10128"
"Santa Izabel do Pará","70801"
"Santa Luzia do Pará","19848"
"Santa Maria do Pará","24861"
"Santana do Araguaia","72817"
"Santarém","304589"
"Santarém Novo","6709"
"Santo Antônio do Tauá","31482"
"São Caetano de Odivelas","18050"
"São Domingos do Araguaia","25557"
"São Domingos do Capim","31989"
"São Félix do Xingu","128481"
"São Francisco do Pará","15882"
"São Geraldo do Araguaia","24847"
"São João da Ponta","6139"
"São João de Pirabas","23045"
"São João do Araguaia","13996"
"São Miguel do Guamá","58986"
"São Sebastião da Boa Vista","26640"
"Senador José Porfírio","11658"
"Soure","25374"
"Tailândia","106339"
"Terra Alta","11720"
"Terra Santa","18769"
"Tomé-Açu","63447"
"Tracuateua","30959"
"Tucumã","39602"
"Tucuruí","113659"
"Ulianópolis","59210"
"Uruará","45476"
"Vigia","53686"
"Viseu","61403"
"Vitória do Xingu","15134"
"Xinguara","44751"
"Serra do Navio","5397"
"Amapá","9109"
"Pedra Branca do Amapari","16502"
"Calçoene","11117"
"Cutias","5983"
"Ferreira Gomes","7780"
"Itaubal","5503"
"Laranjal do Jari","50410"
"Macapá","503327"
"Mazagão","21632"
"Oiapoque","27270"
"Porto Grande","21971"
"Pracuúba","5120"
"Santana","121364"
"Tartarugalzinho","17315"
"Vitória do Jari","15931"
"Abreulândia","2579"
"Aguiarnópolis","6733"
"Aliança do Tocantins","5390"
"Alvorada","8412"
"Ananás","9549"
"Araguaína","180470"
"Araguatins","35761"
"Augustinópolis","18412"
"Aurora do Tocantins","3757"
"Axixá do Tocantins","9756"
"Bandeirantes do Tocantins","3553"
"Barrolândia","5632"
"Buriti do Tocantins","11348"
"Cariri do Tocantins","4382"
"Colinas do Tocantins","35424"
"Couto Magalhães","5588"
"Cristalândia","7289"
"Darcinópolis","6097"
"Dianópolis","22139"
"Dueré","4686"
"Fátima","3835"
"Figueirópolis","5263"
"Formoso do Araguaia","18440"
"Fortaleza do Tabocão","2589"
"Goiatins","13019"
"Guaraí","25923"
"Gurupi","86647"
"Lizarda","3740"
"Marianópolis do Tocantins","5175"
"Maurilândia do Tocantins","3426"
"Miracema do Tocantins","18248"
"Miranorte","13434"
"Palmeiras do Tocantins","6658"
"Nova Olinda","11819"
"Nova Rosalândia","4260"
"Novo Acordo","4342"
"Paraíso do Tocantins","51252"
"Ponte Alta do Tocantins","8039"
"Porto Nacional","53010"
"Pugmil","2688"
"Sampaio","4711"
"São Bento do Tocantins","5324"
"São Miguel do Tocantins","12139"
"Silvanópolis","5403"
"Sítio Novo do Tocantins","9029"
"Palmas","299127"
"Tocantinópolis","22870"
"Wanderlândia","11683"
"Xambioá","11540"
"Abadia dos Dourados","6989"
"Abaeté","23237"
"Aimorés","25167"
"Além Paraíba","35362"
"Alfenas","79996"
"Alfredo Vasconcelos","6907"
"Almenara","41896"
"Alpercata","7424"
"Alpinópolis","19853"
"Alterosa","14466"
"Alto Rio Doce","11000"
"Araguari","117267"
"Araxá","106229"
"Arceburgo","10772"
"Arcos","40092"
"Astolfo Dutra","14179"
"Barbacena","137313"
"Bela Vista de Minas","10255"
"Belmiro Braga","3429"
"Belo Horizonte","2512070"
"Belo Oriente","26700"
"Belo Vale","7715"
"Betim","439340"
"Bicas","14494"
"Boa Esperança","40127"
"Bom Despacho","50605"
"Bom Repouso","10547"
"Bonfim","6868"
"Borda da Mata","19412"
"Botelhos","14971"
"Brasília de Minas","32347"
"Brazópolis","14459"
"Brumadinho","40103"
"Bueno Brandão","11001"
"Caetanópolis","11624"
"Caeté","44718"
"Cajuri","3987"
"Caldas","14480"
"Camanducaia","21770"
"Cambuí","29551"
"Cambuquira","12814"
"Campo Belo","54029"
"Campos Altos","15461"
"Campos Gerais","28774"
"Cana Verde","5603"
"Capelinha","37784"
"Capinópolis","16173"
"Capitólio","8632"
"Carandaí","25501"
"Carangola","33000"
"Caratinga","92062"
"Carlos Chagas","18837"
"Carmo da Cachoeira","12170"
"Carmo da Mata","11476"
"Carmo do Cajuru","22478"
"Carmópolis de Minas","19355"
"Cascalho Rico","3075"
"Cataguases","75123"
"Catuji","6311"
"Caxambu","21656"
"Centralina","10350"
"Cláudio","28617"
"Comercinho","6929"
"Conceição das Alagoas","27893"
"Congonhal","11950"
"Conselheiro Lafaiete","128589"
"Contagem","663855"
"Coromandel","27974"
"Coronel Fabriciano","109855"
"Couto de Magalhães de Minas","4410"
"Curvelo","80129"
"Dionísio","7729"
"Divinésia","3417"
"Divino","19931"
"Divinópolis","238230"
"Divisa Nova","6011"
"Elói Mendes","28076"
"Esmeraldas","70552"
"Espera Feliz","24951"
"Espinosa","31617"
"Espírito Santo do Dourado","4692"
"Estiva","11354"
"Estrela Dalva","2343"
"Extrema","36225"
"Faria Lemos","3241"
"Ferros","9820"
"Fervedouro","11006"
"Formiga","67683"
"Fronteira","18103"
"Frutal","59496"
"Goianá","3966"
"Governador Valadares","279885"
"Guaranésia","19021"
"Guaxupé","51917"
"Guimarânia","8039"
"Ibiaí","8395"
"Ibirité","180204"
"Icaraí de Minas","11990"
"Igarapé","43045"
"Ilicínea","12375"
"Imbé de Minas","6903"
"Ipaba","18607"
"Ipatinga","263410"
"Ipiaçu","4221"
"Ipuiúna","10079"
"Itabira","120060"
"Itabirito","51875"
"Itacarambi","18153"
"Itaguara","13358"
"Itajubá","96869"
"Itambacuri","23211"
"Itamonte","15579"
"Itanhandu","15331"
"Itaobim","21062"
"Itapecerica","21762"
"Itapeva","9783"
"Itatiaiuçu","11146"
"Itaú de Minas","16108"
"Itaúna","93214"
"Ituiutaba","104671"
"Itumirim","6023"
"Jaboticatubas","20143"
"Janaúba","71648"
"Jeceaba","4912"
"Jequitinhonha","25391"
"João Monlevade","79910"
"Juatuba","26946"
"Juiz de Fora","568873"
"Lagoa da Prata","52165"
"Lagoa Santa","64527"
"Lajinha","19923"
"Lambari","20814"
"Lavras","103773"
"Leopoldina","52587"
"Lima Duarte","16698"
"Machado","42133"
"Mamonas","6543"
"Manhuaçu","90229"
"Mantena","27644"
"Mar de Espanha","12814"
"Mariana","60724"
"Mário Campos","15416"
"Maripá de Minas","2973"
"Marliéria","4039"
"Martinho Campos","13388"
"Matias Cardoso","11157"
"Matozinhos","37820"
"Medina","20820"
"Minas Novas","31484"
"Moema","7517"
"Monte Alegre de Minas","21120"
"Monte Azul","20854"
"Monte Carmelo","47809"
"Montes Claros","409341"
"Morro da Garça","2462"
"Munhoz","6029"
"Muriaé","108763"
"Mutum","26979"
"Muzambinho","20569"
"Nanuque","40750"
"Nazareno","8608"
"Nova Lima","94889"
"Nova Porteirinha","7500"
"Nova Serrana","102693"
"Novo Cruzeiro","31331"
"Ouro Branco","39500"
"Ouro Fino","33639"
"Padre Paraíso","20154"
"Paracatu","93158"
"Pará de Minas","93969"
"Paraisópolis","21083"
"Passos","114679"
"Patos de Minas","152488"
"Patrocínio","90757"
"Pedra Dourada","2504"
"Pedro Leopoldo","64258"
"Perdizes","16168"
"Perdões","21390"
"Piranguçu","5472"
"Pirapetinga","10752"
"Pirapora","56428"
"Piumhi","34691"
"Planura","12133"
"Poço Fundo","16791"
"Poços de Caldas","167397"
"Ponte Nova","59742"
"Porteirinha","37906"
"Porto Firme","11279"
"Poté","16555"
"Pouso Alegre","150737"
"Presidente Juscelino","3641"
"Alto Jequitibá","8317"
"Raposos","16354"
"Recreio","10517"
"Riacho dos Machados","9481"
"Ribeirão das Neves","334858"
"Rio Novo","8949"
"Sabará","136344"
"Sacramento","26185"
"Santa Bárbara","31324"
"Santa Luzia","219134"
"Santa Margarida","16208"
"Santa Maria de Itabira","10847"
"Santana de Cataguases","3872"
"Santana do Paraíso","34663"
"Santa Rita de Jacutinga","4884"
"Santa Rita do Sapucaí","43260"
"Santo Antônio do Aventureiro","3602"
"Santo Antônio do Monte","28243"
"Santos Dumont","46487"
"São Brás do Suaçuí","3738"
"São Francisco","56323"
"São Francisco do Glória","4844"
"São Geraldo da Piedade","3962"
"São Gotardo","35469"
"São João da Mata","2749"
"São João del Rei","90082"
"São João do Manhuaçu","11559"
"São João do Paraíso","23618"
"São João Nepomuceno","26361"
"São José da Lapa","23766"
"São Lourenço","45851"
"São Romão","12337"
"São Sebastião do Oeste","6775"
"São Sebastião do Paraíso","70956"
"São Tomás de Aquino","7021"
"São Vicente de Minas","7753"
"Sarzedo","32752"
"Senador Amaral","5356"
"Senador José Bento","1502"
"Senhora do Porto","3523"
"Serra do Salitre","11582"
"Sete Lagoas","239639"
"Sobrália","5553"
"Tabuleiro","3750"
"Teófilo Otoni","140592"
"Timóteo","89842"
"Toledo","6258"
"Tombos","8022"
"Três Corações","79482"
"Três Marias","32356"
"Três Pontas","56746"
"Tupaciguara","25327"
"Ubá","115552"
"Uberaba","333783"
"Uberlândia","691305"
"Unaí","84378"
"Vargem Alegre","6480"
"Varginha","135558"
"Varzelândia","19320"
"Vazante","20590"
"Viçosa","78846"
"Wenceslau Braz","2552"
"Afonso Cláudio","30586"
"Alegre","30084"
"Alfredo Chaves","14601"
"Anchieta","29263"
"Apiacá","7567"
"Aracruz","101220"
"Baixo Guandu","30998"
"Barra de São Francisco","44650"
"Boa Esperança","15037"
"Bom Jesus do Norte","9936"
"Brejetuba","12404"
"Cachoeiro de Itapemirim","208972"
"Cariacica","381285"
"Castelo","37534"
"Colatina","122499"
"Conceição da Barra","31063"
"Conceição do Castelo","12723"
"Divino de São Lourenço","4304"
"Domingos Martins","33850"
"Ecoporanga","22923"
"Fundão","21509"
"Guaçuí","30867"
"Guarapari","124859"
"Ibiraçu","12479"
"Ibitirama","8889"
"Iconha","13860"
"Irupi","13377"
"Itapemirim","34348"
"Itarana","10555"
"Iúna","29161"
"Jerônimo Monteiro","12192"
"João Neiva","16668"
"Laranja da Terra","10947"
"Linhares","173555"
"Marataízes","38499"
"Marechal Floriano","16694"
"Marilândia","12833"
"Mimoso do Sul","26153"
"Montanha","18833"
"Muniz Freire","17465"
"Muqui","15449"
"Nova Venécia","50110"
"Pancas","23184"
"Pedro Canário","26184"
"Pinheiros","27047"
"Piúma","21711"
"Presidente Kennedy","11574"
"Rio Bananal","19141"
"Rio Novo do Sul","11622"
"Santa Leopoldina","12224"
"Santa Maria de Jetibá","40431"
"Santa Teresa","23590"
"São Gabriel da Palha","37947"
"São José do Calçado","10556"
"São Mateus","130611"
"São Roque do Canaã","12415"
"Serra","517510"
"Sooretama","30070"
"Vargem Alta","21402"
"Venda Nova do Imigrante","25277"
"Viana","78239"
"Vila Valério","14080"
"Vila Velha","493838"
"Vitória","362097"
"Angra dos Reis","203785"
"Aperibé","11759"
"Araruama","132400"
"Areal","12572"
"Armação dos Búzios","33870"
"Arraial do Cabo","30349"
"Barra do Piraí","100374"
"Barra Mansa","184412"
"Belford Roxo","510906"
"Bom Jardim","27446"
"Bom Jesus do Itabapoana","37096"
"Cabo Frio","226525"
"Cachoeiras de Macacu","58937"
"Carapebus","16301"
"Campos dos Goytacazes","507548"
"Cantagalo","20172"
"Cardoso Moreira","12823"
"Carmo","18895"
"Casimiro de Abreu","44184"
"Conceição de Macabu","23228"
"Cordeiro","21926"
"Duque de Caxias","919596"
"Engenheiro Paulo de Frontin","14002"
"Guapimirim","60517"
"Iguaba Grande","28310"
"Itaboraí","240592"
"Itaguaí","133019"
"Italva","15207"
"Itaocara","23234"
"Itaperuna","103224"
"Itatiaia","31805"
"Japeri","104768"
"Laje do Muriaé","7355"
"Macaé","256672"
"Macuco","5599"
"Magé","245071"
"Mangaratiba","44468"
"Maricá","161207"
"Mendes","18614"
"Mesquita","176103"
"Miguel Pereira","25538"
"Miracema","27174"
"Natividade","15317"
"Nilópolis","162485"
"Niterói","513584"
"Nova Friburgo","190631"
"Nova Iguaçu","821128"
"Paracambi","52257"
"Paraíba do Sul","44285"
"Paraty","43165"
"Paty do Alferes","27769"
"Petrópolis","306191"
"Pinheiral","25156"
"Piraí","29277"
"Porciúncula","18847"
"Porto Real","19683"
"Quatis","14302"
"Queimados","150319"
"Quissamã","24700"
"Resende","131341"
"Rio Bonito","60201"
"Rio das Flores","9284"
"Rio das Ostras","150674"
"Rio de Janeiro","6718903"
"Santa Maria Madalena","10404"
"Santo Antônio de Pádua","42479"
"São Francisco de Itabapoana","42205"
"São Fidélis","38669"
"São Gonçalo","1084839"
"São João da Barra","36102"
"São João de Meriti","472406"
"São José de Ubá","7171"
"São José do Vale do Rio Preto","21795"
"São Pedro da Aldeia","104476"
"São Sebastião do Alto","9357"
"Sapucaia","18228"
"Saquarema","89170"
"Seropédica","82312"
"Silva Jardim","21774"
"Sumidouro","15623"
"Tanguá","34309"
"Teresópolis","182594"
"Três Rios","81804"
"Valença","76523"
"Vassouras","36896"
"Volta Redonda","273012"
"Adamantina","35068"
"Adolfo","3562"
"Aguaí","36305"
"Águas da Prata","8180"
"Águas de Lindóia","18705"
"Águas de Santa Bárbara","6075"
"Águas de São Pedro","3451"
"Agudos","37214"
"Alambari","6025"
"Alto Alegre","4099"
"Álvares Machado","24915"
"Álvaro de Carvalho","5227"
"Americana","239597"
"Américo Brasiliense","40504"
"Américo de Campos","5969"
"Amparo","72195"
"Andradina","57157"
"Angatuba","25228"
"Anhembi","6724"
"Aparecida","36157"
"Apiaí","24374"
"Araçariguama","22364"
"Araçatuba","197016"
"Araçoiaba da Serra","34146"
"Arandu","6357"
"Araraquara","236072"
"Araras","134236"
"Arealva","8560"
"Areiópolis","11129"
"Artur Nogueira","54408"
"Arujá","89824"
"Assis","104386"
"Atibaia","142761"
"Avaí","5403"
"Avanhandava","13649"
"Avaré","90655"
"Bady Bassitt","17502"
"Bananal","10945"
"Barbosa","7402"
"Bariri","35264"
"Barra Bonita","36126"
"Barra do Turvo","7659"
"Barretos","122098"
"Barrinha","32812"
"Barueri","274182"
"Batatais","62508"
"Bauru","376818"
"Bebedouro","77496"
"Bernardino de Campos","11148"
"Bertioga","63249"
"Bilac","8034"
"Birigui","123638"
"Biritiba-Mirim","32598"
"Bocaina","12329"
"Boituva","60997"
"Bom Jesus dos Perdões","25448"
"Borborema","16046"
"Borebi","2653"
"Botucatu","146497"
"Bragança Paulista","168668"
"Brejo Alegre","2865"
"Brodowski","24939"
"Buritama","17144"
"Cabreúva","49707"
"Caçapava","94263"
"Cachoeira Paulista","33327"
"Caconde","18985"
"Caiabu","4191"
"Caieiras","101470"
"Cajamar","76801"
"Cajati","28549"
"Cajobi","10542"
"Cajuru","26167"
"Campinas","1204073"
"Campo Limpo Paulista","84650"
"Campos do Jordão","52088"
"Cananéia","12540"
"Canas","5138"
"Cândido Mota","31280"
"Capão Bonito","47138"
"Capela do Alto","20706"
"Caraguatatuba","121532"
"Carapicuíba","400927"
"Castilho","21006"
"Catanduva","121862"
"Catiguá","7804"
"Cedral","9237"
"Cerqueira César","19985"
"Charqueada","17190"
"Colina","18468"
"Conchal","28050"
"Conchas","17896"
"Cordeirópolis","24528"
"Coroados","6058"
"Cosmópolis","72252"
"Cosmorama","7307"
"Cotia","249210"
"Cravinhos","35292"
"Cruzeiro","82238"
"Cubatão","130705"
"Cunha","21547"
"Diadema","423884"
"Divinolândia","11146"
"Dobrada","8929"
"Dois Córregos","27315"
"Dracena","46793"
"Duartina","12445"
"Dumont","9868"
"Eldorado","15494"
"Elias Fausto","17772"
"Embu das Artes","273726"
"Embu-Guaçu","69385"
"Engenheiro Coelho","20773"
"Espírito Santo do Pinhal","44330"
"Estrela d'Oeste","8419"
"Fartura","16036"
"Fernandópolis","69116"
"Ferraz de Vasconcelos","194276"
"Flórida Paulista","14640"
"Franca","353187"
"Francisco Morato","175844"
"Franco da Rocha","154489"
"Gália","6548"
"Garça","44390"
"Gastão Vidigal","4808"
"Getulina","11409"
"Guaiçara","12168"
"Guaíra","40790"
"Guapiaçu","21454"
"Guará","21220"
"Guaraçaí","8323"
"Guararapes","32939"
"Guararema","29798"
"Guaratinguetá","121798"
"Guareí","18520"
"Guariba","40105"
"Guarujá","320459"
"Guarulhos","1379182"
"Guzolândia","5267"
"Holambra","14930"
"Hortolândia","230851"
"Iacanga","11710"
"Ibaté","35104"
"Ibirá","12393"
"Ibirarema","7753"
"Ibitinga","60033"
"Ibiúna","78878"
"Iepê","8159"
"Igaraçu do Tietê","24674"
"Igarapava","30432"
"Igaratá","9534"
"Iguape","30857"
"Ilhabela","34970"
"Ilha Comprida","11166"
"Ilha Solteira","26686"
"Indaiatuba","251627"
"Indiana","4885"
"Inúbia Paulista","3991"
"Iperó","37133"
"Ipiguá","5392"
"Ipuã","16409"
"Iracemápolis","24235"
"Irapuru","8294"
"Itajobi","15262"
"Itanhaém","101816"
"Itapecerica da Serra","175693"
"Itapetininga","163901"
"Itapeva","94354"
"Itapevi","237700"
"Itapira","74773"
"Itapuí","13992"
"Itapura","4906"
"Itaquaquecetuba","370821"
"Itararé","50503"
"Itariri","17436"
"Itatiba","120858"
"Itatinga","20697"
"Itirapina","18157"
"Itobi","7841"
"Itu","173939"
"Itupeva","61252"
"Ituverava","41824"
"Jaborandi","6929"
"Jaboticabal","77263"
"Jacareí","233662"
"Jaci","7067"
"Jacupiranga","17866"
"Jaguariúna","57488"
"Jales","49107"
"Jambeiro","6602"
"Jandira","124937"
"Jardinópolis","44380"
"Jarinu","30044"
"Jaú","150252"
"Joanópolis","13220"
"José Bonifácio","37015"
"Jundiaí","418962"
"Junqueirópolis","20679"
"Juquiá","18812"
"Juquitiba","31444"
"Laranjal Paulista","28516"
"Lavínia","11980"
"Lavrinhas","7260"
"Leme","103391"
"Lençóis Paulista","68432"
"Limeira","306114"
"Lindóia","7980"
"Lins","78013"
"Lorena","88706"
"Louveira","48885"
"Lucélia","21747"
"Macatuba","17163"
"Mairinque","47150"
"Mairiporã","100179"
"Marapoama","3031"
"Marília","238882"
"Martinópolis","26461"
"Matão","83170"
"Mauá","472912"
"Meridiano","3836"
"Miguelópolis","22226"
"Mineiros do Tietê","12908"
"Miracatu","19779"
"Mirandópolis","29564"
"Mirassol","59824"
"Mococa","68885"
"Mogi das Cruzes","445842"
"Mogi Guaçu","151888"
"Mogi Mirim","93189"
"Mongaguá","56702"
"Monte Alto","50498"
"Monte Aprazível","25087"
"Monte Azul Paulista","19008"
"Monte Mor","59772"
"Morro Agudo","32968"
"Morungaba","13622"
"Nazaré Paulista","18524"
"Neves Paulista","8930"
"Nhandeara","11478"
"Nipoã","5213"
"Nova Aliança","6973"
"Nova Campina","9755"
"Nova Europa","11186"
"Nova Granada","21500"
"Nova Guataporanga","2316"
"Nova Odessa","60174"
"Novo Horizonte","41052"
"Olímpia","54772"
"Orlândia","44028"
"Osasco","698418"
"Osvaldo Cruz","32879"
"Ourinhos","113542"
"Pacaembu","14197"
"Palmital","22221"
"Paraibuna","18222"
"Paranapanema","20197"
"Pariquera-Açu","19648"
"Parisi","2161"
"Patrocínio Paulista","14670"
"Paulínia","109424"
"Paulistânia","1833"
"Pederneiras","46687"
"Pedra Bela","6093"
"Pedreira","47919"
"Pedrinhas Paulista","3093"
"Pedro de Toledo","11331"
"Penápolis","63407"
"Pereira Barreto","25669"
"Peruíbe","68284"
"Piedade","55348"
"Pilar do Sul","29185"
"Pindamonhangaba","168328"
"Pindorama","17049"
"Pinhalzinho","15207"
"Piquerobi","3692"
"Piracaia","27303"
"Piracicaba","404142"
"Piraju","29806"
"Pirajuí","25492"
"Pirapora do Bom Jesus","18895"
"Pirapozinho","27527"
"Pirassununga","76409"
"Piratininga","13636"
"Pitangueiras","39719"
"Poá","117452"
"Poloni","6059"
"Pontal","49961"
"Populina","4169"
"Porangaba","9925"
