"city","population"
"Paraibano","21386"
"Paulino Neves","16035"
"Paulo Ramos","21040"
"Pedreiras","39229"
"Pedro do Rosário","25144"
"Penalva","38470"
"Peri Mirim","14318"
"Peritoró","23196"
"Pindaré-Mirim","32941"
"Pinheiro","83387"
"Pio XII","21485"
"Pirapemas","18625"
"Porto Franco","23885"
"Porto Rico do Maranhão","5975"
"Presidente Dutra","47804"
"Presidente Juscelino","12734"
"Presidente Médici","7015"
"Presidente Sarney","18918"
"Presidente Vargas","11193"
"Raposa","30761"
"Riachão","20195"
"Ribamar Fiquene","7791"
"Rosário","42740"
"Santa Helena","42130"
"Santa Inês","89044"
"Santa Luzia","72667"
"Santa Luzia do Paruá","25254"
"Santa Quitéria do Maranhão","25642"
"Santa Rita","37855"
"Santana do Maranhão","13386"
"Santo Antônio dos Lopes","14528"
"São Benedito do Rio Preto","18663"
"São Bento","45211"
"São Bernardo","28507"
"São Domingos do Maranhão","34376"
"São João Batista","20665"
"São João do Carú","15808"
"São João dos Patos","25929"
"São José de Ribamar","177687"
"São Luís","1101884"
"São Luís Gonzaga do Maranhão","18856"
"São Mateus do Maranhão","41529"
"São Pedro da Água Branca","12690"
"São Pedro dos Crentes","4668"
"São Vicente Ferrer","22247"
"Satubinha","13914"
"Senador Alexandre Costa","11141"
"Senador La Rocque","14293"
"Serrano do Maranhão","10253"
"Sítio Novo","18081"
"Timbiras","29124"
"Timon","169107"
"Trizidela do Vale","21998"
"Tuntum","41832"
"Turiaçu","35604"
"Turilândia","25619"
"Tutóia","58860"
"Urbano Santos","33122"
"Vargem Grande","56510"
"Viana","52441"
"Vila Nova dos Martírios","13392"
"Vitória do Mearim","32764"
"Vitorino Freire","31523"
"Zé Doca","51714"
"Água Branca","17411"
"Altos","40524"
"Alvorada do Gurguéia","5419"
"Amarante","17598"
"Angical do Piauí","6788"
"Anísio de Abreu","9880"
"Aroazes","5835"
"Baixa Grande do Ribeiro","11586"
"Barras","47066"
"Batalha","26857"
"Beneditinos","10467"
"Bertolínia","5501"
"Betânia do Piauí","6205"
"Boa Hora","6781"
"Bom Jesus","25179"
"Bom Princípio do Piauí","5630"
"Bonfim do Piauí","5670"
"Buriti dos Lopes","19781"
"Campo Maior","46833"
"Canto do Buriti","21187"
"Caracol","10916"
"Castelo do Piauí","19716"
"Cocal","27787"
